festival,state,start date,end date,description
Diwali ,Bihar,10/18/2025,10/23/2025,"Diwali marks the triumph of light over darkness and good over evil, commemorating the return of Lord Rama after his 14-year exile and his victory over the demon king Ravana. As you walk through the streets adorned with shimmering lights and vibrant decorations, you'll feel the joy and excitement that fills the air. Witness a five-day spectacle that transcends religion and illuminates every corner of the country, and discover why Diwali holds a cherished place in India's cultural celebrations!"
Diwali ,Karnataka,10/18/2025,10/23/2025,"Diwali marks the triumph of light over darkness and good over evil, commemorating the return of Lord Rama after his 14-year exile and his victory over the demon king Ravana. As you walk through the streets adorned with shimmering lights and vibrant decorations, you'll feel the joy and excitement that fills the air. Witness a five-day spectacle that transcends religion and illuminates every corner of the country, and discover why Diwali holds a cherished place in India's cultural celebrations!"
Diwali ,Maharashtra,10/18/2025,10/23/2025,"Diwali marks the triumph of light over darkness and good over evil, commemorating the return of Lord Rama after his 14-year exile and his victory over the demon king Ravana. As you walk through the streets adorned with shimmering lights and vibrant decorations, you'll feel the joy and excitement that fills the air. Witness a five-day spectacle that transcends religion and illuminates every corner of the country, and discover why Diwali holds a cherished place in India's cultural celebrations!"
Diwali ,Tamil Nadu,10/18/2025,10/23/2025,"Diwali marks the triumph of light over darkness and good over evil, commemorating the return of Lord Rama after his 14-year exile and his victory over the demon king Ravana. As you walk through the streets adorned with shimmering lights and vibrant decorations, you'll feel the joy and excitement that fills the air. Witness a five-day spectacle that transcends religion and illuminates every corner of the country, and discover why Diwali holds a cherished place in India's cultural celebrations!"
Diwali ,Uttarakhand,10/18/2025,10/23/2025,"Diwali marks the triumph of light over darkness and good over evil, commemorating the return of Lord Rama after his 14-year exile and his victory over the demon king Ravana. As you walk through the streets adorned with shimmering lights and vibrant decorations, you'll feel the joy and excitement that fills the air. Witness a five-day spectacle that transcends religion and illuminates every corner of the country, and discover why Diwali holds a cherished place in India's cultural celebrations!"
Diwali ,Madhya Pradesh,10/18/2025,10/23/2025,"Diwali marks the triumph of light over darkness and good over evil, commemorating the return of Lord Rama after his 14-year exile and his victory over the demon king Ravana. As you walk through the streets adorned with shimmering lights and vibrant decorations, you'll feel the joy and excitement that fills the air. Witness a five-day spectacle that transcends religion and illuminates every corner of the country, and discover why Diwali holds a cherished place in India's cultural celebrations!"
Diwali ,Delhi,10/18/2025,10/23/2025,"Diwali marks the triumph of light over darkness and good over evil, commemorating the return of Lord Rama after his 14-year exile and his victory over the demon king Ravana. As you walk through the streets adorned with shimmering lights and vibrant decorations, you'll feel the joy and excitement that fills the air. Witness a five-day spectacle that transcends religion and illuminates every corner of the country, and discover why Diwali holds a cherished place in India's cultural celebrations!"
Muharram,,,,
Guru Nanak Jayanti,Punjab,11/5/2025,,"Guru Nanak Jayanti is a celebration resonating with the profound teachings and timeless legacy of Guru Nanak Dev. India celebrates the birth anniversary of the spiritual luminary himself in a spectacle of devotion and festivities that will leave you in awe. Born in the year 1469, Guru Nanak Dev wasn't just a historical figure - he was a beacon of spiritual enlightenment, illuminating the very path of Sikhism."
"Makar Sankranti, Pongal",,,,
Raksha Bandhan,Uttar Pradesh,8/9/2025,,"during this joyous festival, you'll observe females of all ages adorning their brothers' wrists with vibrant threads, symbolising their heartfelt prayers and well wishes. In a reciprocal gesture, brothers present thoughtful gifts to their sisters, imbuing the celebration with a profound sentiment. Yet, this celebration extends beyond your immediate family, warmly welcoming distant relatives, cousins, and even friends into its embrace."
Onam,,,,
